season,candidate,rps
2023/24,n18_fresh_v2,0.17081452856633675
2023/24,n18_fresh_v2,0.048268222567626806
2023/24,n18_fresh_v2,0.15416213981849772
2023/24,n18_carry_v2,0.15191292714900956
2023/24,n18_carry_v2,0.13540957382169083
2023/24,n18_carry_v2,0.29560506397004027
2023/24,n18_carry_v2,0.3022710915724427
2023/24,n18_carry_v2,0.1704239595556568
2023/24,n18_carry_v2,0.14741067011042697
2023/24,n18_carry_v2,0.1368513173840748
2023/24,n18_carry_v2,0.20078216881378322
2023/24,n18_carry_v2,0.1109057518037139
2023/24,n18_carry_v2,0.13378953275930316
2023/24,n18_carry_v2,0.17678993583814426
2023/24,n18_carry_v2,0.2492407532740769
2023/24,n18_carry_v2,0.323752426383282
2023/24,n18_carry_v2,0.296556767888467
2023/24,n18_carry_v2,0.27295178188398544
2023/24,n18_carry_v2,0.1438913907742914
2023/24,n18_carry_v2,0.14192072629234326
2023/24,n18_carry_v2,0.06547733474471615
2023/24,n18_carry_v2,0.23275979919598577
2023/24,n18_carry_v2,0.29099684197297465
2023/24,n18_carry_v2,0.14676245641752056
2023/24,n18_carry_v2,0.08676970847631792
2023/24,n18_carry_v2,0.1482299218218349
2023/24,n18_carry_v2,0.2526971495044142
2023/24,n18_carry_v2,0.20731500806885572
2023/24,n18_carry_v2,0.15486073083697544
2023/24,n18_carry_v2,0.18279491348837934
2023/24,n18_carry_v2,0.20333870921485198
2023/24,n18_carry_v2,0.3820318204476052
2023/24,n18_carry_v2,0.26426552893092137
2023/24,n18_carry_v2,0.2955090500718818
2023/24,n18_carry_v2,0.17499887329852928
2023/24,n18_carry_v2,0.1400877101646171
2023/24,n18_carry_v2,0.1047327441601626
2023/24,n18_carry_v2,0.28496952775502427
2023/24,n18_carry_v2,0.15169035705926903
2023/24,n18_carry_v2,0.10369815397104733
2023/24,n18_carry_v2,0.30876924363601344
2023/24,n18_carry_v2,0.13360025746526233
2023/24,n18_carry_v2,0.05330591077271571
2023/24,n18_carry_v2,0.2663338221038103
2023/24,n18_carry_v2,0.3797880884909688
2023/24,n18_carry_v2,0.14628889237119103
2023/24,n18_carry_v2,0.05454844941719117
2023/24,n18_carry_v2,0.16102011774259986
2023/24,n72_fresh_v2,0.21872129097811296
2023/24,n72_fresh_v2,0.13696842203992848
2023/24,n72_fresh_v2,0.3187414361749886
2023/24,n72_fresh_v2,0.20727304583249484
2023/24,n72_fresh_v2,0.16774889022469053
2023/24,n72_fresh_v2,0.1291336063927731
2023/24,n72_fresh_v2,0.14388061560048165
2023/24,n72_fresh_v2,0.18358389313659612
2023/24,n72_fresh_v2,0.11224611712203124
2023/24,n72_fresh_v2,0.18607820232466404
2023/24,n72_fresh_v2,0.14832045959754697
2023/24,n72_fresh_v2,0.2174143205567935
2023/24,n72_fresh_v2,0.29358800514916716
2023/24,n72_fresh_v2,0.2992853651334796
2023/24,n72_fresh_v2,0.2702621799847224
2023/24,n72_fresh_v2,0.12246504334922761
2023/24,n72_fresh_v2,0.1405210399877799
2023/24,n72_fresh_v2,0.10316077480670782
2023/24,n72_fresh_v2,0.1956690286816393
2023/24,n72_fresh_v2,0.28104472743360553
2023/24,n72_fresh_v2,0.15734208090697088
2023/24,n72_fresh_v2,0.07846124450051718
2023/24,n72_fresh_v2,0.20506922910253608
2023/24,n72_fresh_v2,0.2485550489246013
2023/24,n72_fresh_v2,0.21589509609371155
2023/24,n72_fresh_v2,0.15319604861797997
2023/24,n72_fresh_v2,0.2482707166447598
2023/24,n72_fresh_v2,0.1678787928566699
2023/24,n72_fresh_v2,0.3543100858262487
2023/24,n72_fresh_v2,0.3970156657122082
2023/24,n72_fresh_v2,0.32918118217981374
2023/24,n72_fresh_v2,0.17268121317868385
2023/24,n72_fresh_v2,0.1375630818026002
2023/24,n72_fresh_v2,0.1707751830683094
2023/24,n72_fresh_v2,0.2571755385396943
2023/24,n72_fresh_v2,0.1451527655837807
2023/24,n72_fresh_v2,0.09417659627621269
2023/24,n72_fresh_v2,0.2795606420557055
2023/24,n72_fresh_v2,0.1774123588521465
2023/24,n72_fresh_v2,0.08118731124493699
2023/24,n72_fresh_v2,0.23298399279091841
2023/24,n72_fresh_v2,0.3906035764633751
2023/24,n72_fresh_v2,0.18577222232039245
2023/24,n72_fresh_v2,0.04864082499235452
2023/24,n72_fresh_v2,0.15598286309579656
2023/24,n72_carry_v2,0.15191292714900956
2023/24,n72_carry_v2,0.1334040172253927
2023/24,n72_carry_v2,0.3195924980507469
2023/24,n72_carry_v2,0.2796016279854421
2023/24,n72_carry_v2,0.15399053514764305
2023/24,n72_carry_v2,0.1325935143321606
2023/24,n72_carry_v2,0.1225510401141241
2023/24,n72_carry_v2,0.20189074986609093
2023/24,n72_carry_v2,0.11416527103077097
2023/24,n72_carry_v2,0.1331900092049179
2023/24,n72_carry_v2,0.17096299910539503
2023/24,n72_carry_v2,0.2562670318128463
2023/24,n72_carry_v2,0.32510547047947846
2023/24,n72_carry_v2,0.3018398608427558
2023/24,n72_carry_v2,0.2762149896407975
2023/24,n72_carry_v2,0.1445682375965663
2023/24,n72_carry_v2,0.139263363298161
2023/24,n72_carry_v2,0.06211004005104887
2023/24,n72_carry_v2,0.22814202412465048
2023/24,n72_carry_v2,0.28479959830931395
2023/24,n72_carry_v2,0.1449842508580643
2023/24,n72_carry_v2,0.08842687673480214
2023/24,n72_carry_v2,0.15459725569228505
2023/24,n72_carry_v2,0.2565795363695862
2023/24,n72_carry_v2,0.19431084782412816
