season,season_game,holdout_game,actual_result,actual_result_idx,p_home_v2,p_draw_v2,p_away_v2,p_home_book,p_draw_book,p_away_book,rps_v2,rps_book,d_book_v2,rps_paper,d_paper_v2
2016/17,270,56,draw,1,0.45441656501031846,0.28843616328679433,0.2571472717028872,0.3192659227344018,0.25458347605054893,0.4261506012150494,0.13630956695000773,0.1417675321676985,0.005457965217690763,0.12693217501262027,-0.009377391937387458
2016/17,269,55,home_win,0,0.37438834518791136,0.27952675088616236,0.3460849039259257,0.26997395124606355,0.27841063722250303,0.4516154115314335,0.2555823516810688,0.3684472558959955,0.11286490421492668,0.24595146699320886,-0.009630884687859942
2016/17,268,54,home_win,0,0.6545587648120464,0.22629612049293008,0.1191451146950236,0.5325279788565214,0.27757832325665704,0.18989369788682156,0.06676260266193468,0.1272948535245502,0.060532250862615516,0.17865685286516353,0.11189425020322885
2016/17,267,53,draw,1,0.7318176447654205,0.18143281116994728,0.08674954406463217,0.8365822554199307,0.11368190927309162,0.04973583530697758,0.2715412742927144,0.3511717616985905,0.07963048740587608,0.23930216078769043,-0.03223911350502398
2016/17,266,52,away_win,2,0.6037935301835295,0.2271469821423735,0.16905948767409715,0.7319054175634634,0.1745112561450251,0.09358332629151155,0.5275143810579614,0.6786383633177541,0.15112398225979262,0.4670608917606622,-0.06045348929729927
2016/17,265,51,home_win,0,0.2923121253148718,0.3147463510984655,0.3929415235866627,0.33696820062638594,0.29714468600690397,0.36588711336671004,0.3276125844674808,0.2867422733542181,-0.040870311113262725,0.16551022603242552,-0.1621023584350553
2016/17,264,50,away_win,2,0.45570270239361016,0.2689901855691124,0.2753071120372776,0.4283276388682568,0.26799734781647755,0.30367501331526564,0.3664223674162952,0.3341665266499756,-0.0322558407663196,0.3161729699739554,-0.050249397442339805
2016/17,263,49,away_win,2,0.23384450380835206,0.24475986421696505,0.5213956319746826,0.2849829937815646,0.24818772116672963,0.4668292850517058,0.1418726965271438,0.18274315901158927,0.04087046248444548,0.2975830530606728,0.155710356533529
2016/17,282,68,draw,1,0.3900785679715101,0.26750544107256646,0.3424159909559235,0.41697647881621086,0.27680641955313434,0.30621710163065485,0.13470500002651553,0.13381914860852234,-0.0008858514179931887,0.13881295510015612,0.00410795507364059
2016/17,284,70,away_win,2,0.45642934096641014,0.31750201184562443,0.22606864718796552,0.3811119254528322,0.2690817715422469,0.349806303004921,0.40364874108024873,0.28399907166724686,-0.11964966941300187,0.40234100355952,-0.0013077375207287134
2016/17,285,71,home_win,0,0.8706438225311105,0.0724171388966906,0.056939038572198834,0.9010479709498631,0.06727001974899663,0.031682009301140346,0.009987537381444592,0.005397626883248337,-0.004589910498196255,0.05424332347622828,0.044255786094783686
2016/17,286,72,home_win,0,0.634500198819528,0.2161645471053269,0.14933525407514484,0.650841647397442,0.19655417751402748,0.15260417508853064,0.07794556138632636,0.07259979472329156,-0.0053457666630347955,0.19500409691616546,0.11705853552983911
2016/17,306,92,home_win,0,0.2688419174079906,0.2869363914230934,0.44422169116891597,0.39659466557985784,0.28035140153058913,0.3230539328895531,0.3659625263222977,0.23423092058104572,-0.13173160574125198,0.22265892863101538,-0.14330359769128231
2016/17,305,91,away_win,2,0.2914649975619565,0.29481576668810056,0.4137192357499433,0.46002891243164723,0.26626673464114364,0.27370435292720907,0.21433848966671112,0.369565983614964,0.1552274939482529,0.35478497984515384,0.1404464901784427
2016/17,304,90,draw,1,0.7052390891710961,0.17375403059238795,0.12100688023651612,0.7833152762730229,0.13542795232936078,0.08125677139761647,0.2560024189797259,0.31009274247032337,0.05409032349059745,0.16559458875764402,-0.0904078302220819
