season,variant,train_n,temperature,draw_multiplier,rps_raw_v2,rps_calibrated_v2,delta_raw_minus_calibrated,rel_improvement_vs_raw_pct,rps_book,delta_book_minus_calibrated,rps_paper,delta_paper_minus_calibrated
2022/23,wf_draw,554,1.0,0.91,0.20617774231469077,0.20656953891564303,-0.00039179660095226,-0.19002856300281806,0.20741626921630152,0.0008467303006584881,0.2183508755742203,0.01178133665857728
2023/24,wf_draw,647,1.0,0.94,0.18076404299443125,0.18069779239334977,6.625060108148006e-05,0.036650320486315426,0.17749061500411314,-0.0032071773892366207,0.19631060451649263,0.01561281212314286
2024/25,wf_draw,739,1.0,0.94,0.21970343523242075,0.22059693227457225,-0.0008934970421514976,-0.4066832369763729,0.22511165700469368,0.004514724730121433,0.23203790618473472,0.011440973910162466
2025/26,wf_draw,831,1.0,1.02,0.1961388537395391,0.1961362285205993,2.6252189397890646e-06,0.0013384492107184442,0.19832896037700296,0.0021927318564036458,0.20851150941858398,0.012375280897984675
2016/17,wf_temperature_draw,0,1.0,1.0,0.20432305886070018,0.20432305886070018,0.0,0.0,0.1979119576737916,-0.006411101186908574,0.20074469645465295,-0.0035783624060472252
2017/18,wf_temperature_draw,92,1.1,0.88,0.213282092144141,0.2130537617064663,0.00022833043767470085,0.1070556066753086,0.20485265795437757,-0.00820110375208874,0.21516379770250738,0.0021100359960410653
2018/19,wf_temperature_draw,185,1.1,0.85,0.18922248850358625,0.18985729613868796,-0.0006348076351017085,-0.33548213012201095,0.18806206755468907,-0.0017952285839988869,0.19758375096205122,0.00772645482336326
2019/20,wf_temperature_draw,277,0.99,0.88,0.20367034697811928,0.2038616718635426,-0.00019132488542331072,-0.09393850811471596,0.1883826855664925,-0.015478986297050079,0.2047542781626608,0.0008926062991182204
2020/21,wf_temperature_draw,369,0.99,0.91,0.21086865585523842,0.21048314197368986,0.00038551388154856037,0.18282180439999396,0.1963994948338988,-0.014083647139791072,0.21424853495588644,0.0037653929821965804
2021/22,wf_temperature_draw,462,0.98,0.89,0.20559710178389284,0.20593693292898288,-0.000339831145090036,-0.165289851919819,0.21016535976709172,0.00422842683810884,0.22006472271258487,0.01412778978360199
2022/23,wf_temperature_draw,554,0.99,0.91,0.20617774231469077,0.20667085688842465,-0.0004931145737338827,-0.23916964469483706,0.20741626921630152,0.0007454123278768654,0.2183508755742203,0.011680018685795657
2023/24,wf_temperature_draw,647,1.01,0.93,0.18076404299443125,0.18082358804412751,-5.954504969626906e-05,-0.032940760070355055,0.17749061500411314,-0.0033329730400143698,0.19631060451649263,0.015487016472365112
2024/25,wf_temperature_draw,739,0.97,0.96,0.21970343523242075,0.22119606364959762,-0.0014926284171768722,-0.6793832857450974,0.22511165700469368,0.003915593355096059,0.23203790618473472,0.010841842535137092
2025/26,wf_temperature_draw,831,1.02,1.01,0.1961388537395391,0.1963215471553337,-0.00018269341579460474,-0.09314493906302261,0.19832896037700296,0.002007413221669252,0.20851150941858398,0.012189962263250281
