season,candidate,rps
2021/22,n144_carry_v2,0.19162346917293582
2021/22,n144_fresh_v2,0.1954607549919445
2021/22,n36_carry_v2,0.1919057212568133
2021/22,n36_fresh_v2,0.19396981507228286
2021/22,n72_carry_v2,0.19109034952811363
2021/22,n72_fresh_v2,0.1959339246872034
2022/23,bookmaker,0.21613707639024382
2022/23,fixed_carry_v2,0.22037565926805153
2022/23,fixed_fresh_v2,0.22449007484621677
2022/23,n0_carry_v2,0.26826722019886534
2022/23,n0_fresh_v2,0.2718574024638571
2022/23,n144_carry_v2,0.22162114092700153
2022/23,n144_fresh_v2,0.22626959855106835
2022/23,n36_carry_v2,0.22270731125199472
2022/23,n36_fresh_v2,0.2282176662926052
2022/23,n72_carry_v2,0.22083447492066596
2022/23,n72_fresh_v2,0.22512171169352327
2023/24,bookmaker,0.16326920729925004
2023/24,fixed_carry_v2,0.1870145859359208
2023/24,fixed_fresh_v2,0.18981944222441782
2023/24,n0_carry_v2,0.23941473878278707
2023/24,n0_fresh_v2,0.24260410972759494
2023/24,n144_carry_v2,0.18802539148405978
2023/24,n144_fresh_v2,0.1916386489923049
2023/24,n36_carry_v2,0.1895575768794523
2023/24,n36_fresh_v2,0.1924363135771322
2023/24,n72_carry_v2,0.18910574469736546
2023/24,n72_fresh_v2,0.1918726402317979
2024/25,bookmaker,0.18471973286225168
2024/25,fixed_carry_v2,0.2076291639256938
2024/25,fixed_fresh_v2,0.2157120046488075
2024/25,n0_carry_v2,0.24985261593843044
2024/25,n0_fresh_v2,0.2606018189375529
2024/25,n144_carry_v2,0.20755715333879046
2024/25,n144_fresh_v2,0.21591694459236893
2024/25,n36_carry_v2,0.20883607364436668
2024/25,n36_fresh_v2,0.2187829027229965
2024/25,n72_carry_v2,0.20885251510916505
2024/25,n72_fresh_v2,0.21632630617028492
2025/26,bookmaker,0.20339326658427442
2025/26,fixed_carry_v2,0.22009839044692797
2025/26,fixed_fresh_v2,0.22761929038008513
2025/26,n0_carry_v2,0.2409886949202825
2025/26,n0_fresh_v2,0.25299038527449913
2025/26,n144_carry_v2,0.21943643330951884
2025/26,n144_fresh_v2,0.22620141360468154
2025/26,n36_carry_v2,0.21803603943342414
2025/26,n36_fresh_v2,0.22362830635813027
2025/26,n72_carry_v2,0.21781610778575744
2025/26,n72_fresh_v2,0.22496898581532865
